avert_true,avert_m1,avert_m3,nsam,lag,seed,deterministic
28488,25735,28104,1000000,14,200,FALSE
28084,25829,28196,1000000,14,201,FALSE
28341,25755,28113,1000000,14,202,FALSE
27809,25917,28297,1000000,14,203,FALSE
27830,25883,28245,1000000,14,204,FALSE
28289,25788,28155,1000000,14,205,FALSE
27678,25937,28305,1000000,14,206,FALSE
28644,25661,28003,1000000,14,207,FALSE
27899,25881,28250,1000000,14,208,FALSE
28130,25855,28240,1000000,14,209,FALSE
28108,25832,28202,1000000,14,210,FALSE
28065,25850,28222,1000000,14,211,FALSE
28176,25817,28190,1000000,14,212,FALSE
27914,25871,28236,1000000,14,213,FALSE
28557,25703,28063,1000000,14,214,FALSE
28370,25771,28145,1000000,14,215,FALSE
28381,25735,28088,1000000,14,216,FALSE
28192,25803,28166,1000000,14,217,FALSE
28155,25803,28166,1000000,14,218,FALSE
27979,25862,28231,1000000,14,219,FALSE
28285,25782,28145,1000000,14,220,FALSE
28014,25858,28232,1000000,14,221,FALSE
28081,25830,28197,1000000,14,222,FALSE
28035,25844,28212,1000000,14,223,FALSE
27536,25973,28352,1000000,14,224,FALSE
27761,25914,28284,1000000,14,225,FALSE
27994,25856,28230,1000000,14,226,FALSE
28213,25807,28176,1000000,14,227,FALSE
28435,25739,28096,1000000,14,228,FALSE
27996,25867,28242,1000000,14,229,FALSE
28407,25753,28122,1000000,14,230,FALSE
28001,25849,28218,1000000,14,231,FALSE
28055,25834,28201,1000000,14,232,FALSE
28206,25800,28166,1000000,14,233,FALSE
28140,25835,28210,1000000,14,234,FALSE
28631,25679,28028,1000000,14,235,FALSE
27747,25929,28306,1000000,14,236,FALSE
28432,25737,28096,1000000,14,237,FALSE
27640,25950,28327,1000000,14,238,FALSE
28334,25765,28128,1000000,14,239,FALSE
28476,25712,28060,1000000,14,240,FALSE
28390,25749,28114,1000000,14,241,FALSE
28276,25780,28144,1000000,14,242,FALSE
28119,25826,28192,1000000,14,243,FALSE
27302,26065,28466,1000000,14,244,FALSE
28350,25766,28129,1000000,14,245,FALSE
28221,25794,28157,1000000,14,246,FALSE
28338,25760,28124,1000000,14,247,FALSE
28692,25674,28028,1000000,14,248,FALSE
28071,25821,28180,1000000,14,249,FALSE
27786,25913,28293,1000000,14,250,FALSE
28083,25826,28191,1000000,14,251,FALSE
28338,25758,28118,1000000,14,252,FALSE
27930,25880,28255,1000000,14,253,FALSE
27731,25932,28310,1000000,14,254,FALSE
27977,25851,28217,1000000,14,255,FALSE
28077,25830,28192,1000000,14,256,FALSE
28511,25712,28071,1000000,14,257,FALSE
28362,25758,28121,1000000,14,258,FALSE
28270,25792,28160,1000000,14,259,FALSE
28346,25742,28096,1000000,14,260,FALSE
28602,25685,28036,1000000,14,261,FALSE
28661,25656,28000,1000000,14,262,FALSE
28206,25796,28156,1000000,14,263,FALSE
27670,25962,28349,1000000,14,264,FALSE
28174,25807,28170,1000000,14,265,FALSE
28313,25779,28147,1000000,14,266,FALSE
27761,25930,28310,1000000,14,267,FALSE
27576,25982,28370,1000000,14,268,FALSE
28480,25705,28049,1000000,14,269,FALSE
27892,25881,28248,1000000,14,270,FALSE
28557,25720,28085,1000000,14,271,FALSE
28216,25799,28163,1000000,14,272,FALSE
27937,25884,28260,1000000,14,273,FALSE
27859,25903,28279,1000000,14,274,FALSE
28019,25844,28209,1000000,14,275,FALSE
28386,25754,28119,1000000,14,276,FALSE
28170,25824,28201,1000000,14,277,FALSE
27927,25881,28254,1000000,14,278,FALSE
27729,25935,28314,1000000,14,279,FALSE
28009,25847,28212,1000000,14,280,FALSE
28516,25701,28052,1000000,14,281,FALSE
28229,25794,28158,1000000,14,282,FALSE
27963,25857,28218,1000000,14,283,FALSE
28141,25814,28181,1000000,14,284,FALSE
28338,25767,28131,1000000,14,285,FALSE
28293,25775,28135,1000000,14,286,FALSE
28314,25771,28130,1000000,14,287,FALSE
27799,25902,28273,1000000,14,288,FALSE
28462,25699,28039,1000000,14,289,FALSE
28209,25788,28146,1000000,14,290,FALSE
28029,25855,28228,1000000,14,291,FALSE
28599,25679,28026,1000000,14,292,FALSE
28039,25859,28237,1000000,14,293,FALSE
28448,25716,28063,1000000,14,294,FALSE
28412,25723,28073,1000000,14,295,FALSE
28536,25709,28067,1000000,14,296,FALSE
28173,25802,28160,1000000,14,297,FALSE
28369,25750,28105,1000000,14,298,FALSE
28425,25739,28101,1000000,14,299,FALSE
28056,25833,28196,1000000,14,300,FALSE
28539,25717,28079,1000000,14,301,FALSE
28163,25818,28187,1000000,14,302,FALSE
27753,25922,28300,1000000,14,303,FALSE
27679,25947,28323,1000000,14,304,FALSE
27801,25901,28273,1000000,14,305,FALSE
28122,25831,28202,1000000,14,306,FALSE
28175,25813,28182,1000000,14,307,FALSE
27997,25851,28220,1000000,14,308,FALSE
27935,25884,28261,1000000,14,309,FALSE
27717,25943,28325,1000000,14,310,FALSE
27739,25930,28302,1000000,14,311,FALSE
28846,25627,27979,1000000,14,312,FALSE
27665,25948,28325,1000000,14,313,FALSE
28327,25765,28128,1000000,14,314,FALSE
27771,25932,28312,1000000,14,315,FALSE
28092,25813,28170,1000000,14,316,FALSE
28009,25851,28219,1000000,14,317,FALSE
28010,25873,28257,1000000,14,318,FALSE
28251,25810,28185,1000000,14,319,FALSE
28005,25867,28249,1000000,14,320,FALSE
28249,25792,28161,1000000,14,321,FALSE
28379,25759,28128,1000000,14,322,FALSE
28401,25732,28089,1000000,14,323,FALSE
27920,25870,28241,1000000,14,324,FALSE
27970,25859,28226,1000000,14,325,FALSE
28236,25802,28171,1000000,14,326,FALSE
28393,25756,28124,1000000,14,327,FALSE
27900,25894,28274,1000000,14,328,FALSE
28186,25787,28140,1000000,14,329,FALSE
28365,25735,28084,1000000,14,330,FALSE
28025,25844,28211,1000000,14,331,FALSE
28292,25782,28146,1000000,14,332,FALSE
28492,25719,28071,1000000,14,333,FALSE
28914,25599,27944,1000000,14,334,FALSE
28353,25747,28097,1000000,14,335,FALSE
28294,25775,28137,1000000,14,336,FALSE
28122,25850,28235,1000000,14,337,FALSE
27700,25936,28315,1000000,14,338,FALSE
28285,25753,28100,1000000,14,339,FALSE
28154,25825,28202,1000000,14,340,FALSE
28506,25710,28067,1000000,14,341,FALSE
28036,25863,28239,1000000,14,342,FALSE
28163,25810,28177,1000000,14,343,FALSE
27867,25903,28284,1000000,14,344,FALSE
27928,25891,28271,1000000,14,345,FALSE
28479,25745,28115,1000000,14,346,FALSE
28295,25768,28124,1000000,14,347,FALSE
28033,25852,28222,1000000,14,348,FALSE
28196,25808,28177,1000000,14,349,FALSE
27879,25886,28253,1000000,14,350,FALSE
27855,25894,28267,1000000,14,351,FALSE
28120,25832,28205,1000000,14,352,FALSE
28399,25713,28058,1000000,14,353,FALSE
27862,25908,28287,1000000,14,354,FALSE
27864,25903,28283,1000000,14,355,FALSE
28282,25779,28142,1000000,14,356,FALSE
27871,25884,28255,1000000,14,357,FALSE
28409,25740,28101,1000000,14,358,FALSE
28189,25828,28204,1000000,14,359,FALSE
27885,25878,28248,1000000,14,360,FALSE
27735,25914,28277,1000000,14,361,FALSE
28086,25858,28239,1000000,14,362,FALSE
28048,25844,28211,1000000,14,363,FALSE
28160,25811,28182,1000000,14,364,FALSE
27931,25874,28250,1000000,14,365,FALSE
27978,25868,28239,1000000,14,366,FALSE
28016,25857,28228,1000000,14,367,FALSE
27807,25908,28281,1000000,14,368,FALSE
27796,25908,28278,1000000,14,369,FALSE
28051,25842,28216,1000000,14,370,FALSE
28203,25804,28167,1000000,14,371,FALSE
28193,25788,28147,1000000,14,372,FALSE
27902,25855,28208,1000000,14,373,FALSE
28335,25775,28141,1000000,14,374,FALSE
28344,25760,28119,1000000,14,375,FALSE
28423,25735,28089,1000000,14,376,FALSE
28335,25760,28121,1000000,14,377,FALSE
28370,25739,28087,1000000,14,378,FALSE
28080,25840,28214,1000000,14,379,FALSE
28128,25842,28219,1000000,14,380,FALSE
28302,25752,28097,1000000,14,381,FALSE
28202,25795,28157,1000000,14,382,FALSE
28285,25772,28132,1000000,14,383,FALSE
28415,25739,28103,1000000,14,384,FALSE
27868,25900,28277,1000000,14,385,FALSE
27562,25967,28339,1000000,14,386,FALSE
28197,25812,28180,1000000,14,387,FALSE
28186,25800,28161,1000000,14,388,FALSE
27991,25869,28249,1000000,14,389,FALSE
28467,25746,28115,1000000,14,390,FALSE
27817,25913,28291,1000000,14,391,FALSE
28093,25827,28191,1000000,14,392,FALSE
28371,25755,28118,1000000,14,393,FALSE
28644,25673,28023,1000000,14,394,FALSE
28068,25819,28176,1000000,14,395,FALSE
28186,25813,28186,1000000,14,396,FALSE
